Date,latent_factor
2022-07-29,19.620681324681012
2022-08-01,19.723180313244303
2022-08-02,20.866035622350537
2022-08-03,20.879655278367995
2022-08-04,19.66052250969149
2022-08-05,20.728704990639383
2022-08-08,20.225827871931944
2022-08-09,20.195038104004766
2022-08-10,18.426444665156104
2022-08-11,18.288668626990255
2022-08-12,18.5406164681151
2022-08-15,20.091658996814207
2022-08-16,20.23762393535523
2022-08-17,20.381773057780435
2022-08-18,21.03270445854604
2022-08-19,22.14474199938335
2022-08-22,24.002998986652702
2022-08-23,23.215412625077516
2022-08-24,22.78524245931784
2022-08-25,22.402921406892766
2022-08-26,23.871046344164352
2022-08-29,23.750743893430187
2022-08-30,24.3048617181639
2022-08-31,24.538163698834627
2022-09-01,25.892991619394422
2022-09-02,25.485077650138557
2022-09-05,25.477674842274443
2022-09-06,26.585061867304525
2022-09-07,25.903248513406258
2022-09-08,25.550617085807822
2022-09-09,24.254361117824217
2022-09-12,23.62523563013406
2022-09-13,26.16360050414933
2022-09-14,25.81952793313167
2022-09-15,26.689353922303493
2022-09-16,26.580721341380826
2022-09-19,26.374087939340324
2022-09-20,27.38118891247699
2022-09-21,27.968138677957125
2022-09-22,28.491929266068965
2022-09-23,31.59608448820046
2022-09-26,33.39608816527886
2022-09-27,33.28908965843339
2022-09-28,30.62337544462381
2022-09-29,30.66531990431185
2022-09-30,30.67542683788933
2022-10-03,29.08716865827661
2022-10-04,26.690898872753756
2022-10-05,27.569532192629808
2022-10-06,29.05867667876328
2022-10-07,29.710629079171934
2022-10-10,30.76396002672061
2022-10-11,31.26438293295128
2022-10-12,31.40235952963969
2022-10-13,30.295028683943443
2022-10-14,31.814181403833704
2022-10-17,30.49392799380017
2022-10-18,30.58792384670073
2022-10-19,31.570720653688657
2022-10-20,31.371329616130076
2022-10-21,30.128630121316604
2022-10-24,30.258355823926834
2022-10-25,28.907275687412028
2022-10-26,27.098970679545996
2022-10-27,27.899896229565893
2022-10-28,28.009461227517434
2022-10-31,29.17578354030645
2022-11-01,28.708247162602014
2022-11-02,28.640107174283433
2022-11-03,30.234498086377382
2022-11-04,27.016258050594644
2022-11-07,26.363388544629974
2022-11-08,25.756808435882267
